tube_id,location,center_x,center_y,inner_radius,outer_radius,surface_inner,surface_outer
1,West,-1.77,-0.459182619,0.17526,0.23876,335,336
2,West,-1.77,-0.9475278571,0.17526,0.23876,337,338
3,West,-1.77,-1.435873095,0.17526,0.23876,339,340
4,West,-1.77,-1.924218333,0.17526,0.23876,341,342
5,West,-1.77,-2.412563571,0.17526,0.23876,343,344
6,West,-1.77,-2.90090881,0.17526,0.23876,345,346
7,West,-1.77,-3.389254048,0.17526,0.23876,347,348
8,West,-1.77,-3.877599286,0.17526,0.23876,349,350
9,West,-1.77,-4.365944524,0.17526,0.23876,351,352
10,West,-1.77,-4.854289762,0.17526,0.23876,353,354
11,West,-1.77,-5.342635,0.17526,0.23876,355,356
12,West,-1.77,-5.830980238,0.17526,0.23876,357,358
13,West,-1.77,-6.319325476,0.17526,0.23876,359,360
14,West,-1.77,-6.807670714,0.17526,0.23876,361,362
15,West,-1.77,-7.296015952,0.17526,0.23876,363,364
16,West,-1.77,-7.78436119,0.17526,0.23876,365,366
17,West,-1.77,-8.272706429,0.17526,0.23876,367,368
18,West,-1.77,-8.761051667,0.17526,0.23876,369,370
19,West,-1.77,-9.249396905,0.17526,0.23876,371,372
20,West,-1.77,-9.737742143,0.17526,0.23876,373,374
21,West,-1.77,-10.22608738,0.17526,0.23876,375,376
22,North,0.459182619,1.77,0.17526,0.23876,377,378
23,North,0.9475278571,1.77,0.17526,0.23876,379,380
24,North,1.435873095,1.77,0.17526,0.23876,381,382
25,North,1.924218333,1.77,0.17526,0.23876,383,384
26,North,2.412563571,1.77,0.17526,0.23876,385,386
27,North,2.90090881,1.77,0.17526,0.23876,387,388
28,North,3.389254048,1.77,0.17526,0.23876,389,390
29,North,3.877599286,1.77,0.17526,0.23876,391,392
30,North,4.365944524,1.77,0.17526,0.23876,393,394
31,North,4.854289762,1.77,0.17526,0.23876,395,396
32,North,5.342635,1.77,0.17526,0.23876,397,398
33,North,5.830980238,1.77,0.17526,0.23876,399,400
34,North,6.319325476,1.77,0.17526,0.23876,401,402
35,North,6.807670714,1.77,0.17526,0.23876,403,404
36,North,7.296015952,1.77,0.17526,0.23876,405,406
37,North,7.78436119,1.77,0.17526,0.23876,407,408
38,North,8.272706429,1.77,0.17526,0.23876,409,410
39,North,8.761051667,1.77,0.17526,0.23876,411,412
40,North,9.249396905,1.77,0.17526,0.23876,413,414
41,North,9.737742143,1.77,0.17526,0.23876,415,416
42,North,10.22608738,1.77,0.17526,0.23876,417,418
